"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Scaling_Factor_Batch_A","Scaling_Factor_Batch_B"
"G1",270.756925988183,0.0410303896783374,0.266616111726297,0.153893136512539,0.877693995906883,0.915062634519689,1.01432163531222,0.985880577901892
"G2",426.721053962514,1.13649083398272,0.242582008243007,4.68497578288758,2.79993036026951e-06,4.99987564333841e-05,1.48271921385825,0.67443652894863
"G3",410.444160247101,0.2450053818323,0.286489868602691,0.855197368853827,0.392441892585221,0.5558667033785,1.08862169362094,0.918592754360632
"G4",464.14078857709,0.882733381823153,0.276503442201784,3.19248604933808,0.00141053758175307,0.00740026337642808,1.35789007198919,0.736436638449744
"G5",577.730795986407,1.02304301680999,0.205189428672796,4.98584660733853,6.16910755869813e-07,1.40206989970412e-05,1.42555283282597,0.70148224392191
"G6",198.051674126001,-0.210059169795636,0.303200898580153,-0.692805235008582,0.48843178648954,0.640986596442966,0.92978587558833,1.07551644551197
"G7",213.807480258424,-1.05313816801105,0.307513832435488,-3.42468551632383,0.000615511452131223,0.00392045510911607,0.694203678996226,1.44049942438498
"G8",174.262324373642,0.867050974097069,0.283275202123222,3.06080789140135,0.0022074067558755,0.010767837833539,1.3505298123438,0.740450148423259
"G9",316.709047445705,0.334000865737064,0.277155661753195,1.20510208459855,0.228163895170459,0.381544975201437,1.12272175893679,0.890692633361796
"G10",596.770122099852,-0.126670012165768,0.309638002840096,-0.409090651030919,0.68247313687333,0.786120970574408,0.957049197411431,1.04487836435655
"G11",627.826662858569,0.262656200661335,0.298636148318716,0.879519114280223,0.379119873904311,0.543151681811334,1.09530153793912,0.912990592418565
"G12",116.451833044714,0.570496172314086,0.292851794674483,1.94807128618835,0.0514064340008748,0.12916189447456,1.21861979978796,0.820600486036745
"G13",157.362787417679,-0.924437701062777,0.314732719860081,-2.93721511215532,0.00331174297191511,0.015082194616413,0.725869020442355,1.3776590153835
"G14",428.566209443398,0.116756366037636,0.264369791856394,0.441640344828272,0.6587494843269,0.770467233130877,1.04129452320541,0.96034308998544
"G15",270.422129514383,0.160356891841388,0.27882567155044,0.575115235802021,0.565213364460966,0.707452216156744,1.05714879045498,0.945940636766578
"G16",321.543171394227,0.457226307231878,0.228593466959299,2.00017224163841,0.0454816681145389,0.117269128522136,1.17170805801463,0.853454914097307
"G17",120.700129828668,-0.182546598117339,0.262586351477337,-0.695186924569056,0.486938165478332,0.63986618328296,0.938693907609207,1.06530999284627
"G18",610.905704542005,0.566950536835704,0.256699227473154,2.20861800955359,0.0272012216119789,0.0802395917757491,1.2171232506829,0.821609479104865
"G19",396.705452991347,0.721745539266429,0.289848921422047,2.49007495258366,0.0127716158155707,0.0443367152738846,1.28420255098147,0.778693360510561
"G20",317.844830651459,0.290220721142061,0.261479444633813,1.10991791935499,0.267034397986551,0.428626642032987,1.10581524065879,0.904310198694904
"G21",586.388048317986,0.157403851388911,0.25093681539735,0.627264879964573,0.530485620565745,0.68098282485975,1.05606740939359,0.946909251346191
"G22",353.26597459629,0.611878100474491,0.296581740234022,2.06310105265307,0.0391030281933102,0.105593149058121,1.23622303291014,0.808915522020283
"G23",1000.77504810375,0.859632248361105,0.269393758100125,3.19098799624603,0.00141787170959199,0.00740026337642808,1.34706187883872,0.742356394839177
"G24",109.048721765325,-0.573212784941018,0.2914310787299,-1.96688969288781,0.0491959290656188,0.124546655862326,0.819828249188313,1.21976767815707
