"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Scaling_Factor_Batch_A","Scaling_Factor_Batch_B"
"G1",270.756925988183,-0.0222906323791832,0.187931480564661,-0.11861042286374,0.90558400739863,0.938429023211016,0.992304419286039,1.00775526195832
"G2",426.721053962514,0.926947722243366,0.173533305706481,5.34161277265836,9.21232772004389e-08,1.64505852143641e-06,1.3788579720914,0.725237856429288
"G3",410.444160247101,0.239990983866913,0.201590268368011,1.19048893485672,0.233854276504917,0.368855325717535,1.08673146675267,0.920190525989055
"G4",464.14078857709,0.0706061382958013,0.225203515827241,0.313521474282688,0.753884508376852,0.843271262166501,1.02477207585591,0.975826745830072
"G5",577.730795986407,0.913166057700605,0.145020898645841,6.29678940226864,3.03873675879605e-10,9.785785398747e-09,1.37228775206535,0.728710140052592
"G6",198.051674126001,-0.570966835298944,0.218196545190032,-2.61675470068363,0.00887701091708427,0.026032290079426,0.820466641126903,1.21881859648372
"G7",213.807480258424,-0.680258634818975,0.222465198555047,-3.05782045568198,0.00222953115050602,0.00822705221588939,0.789970498895841,1.26587005641062
"G8",174.262324373642,0.959282300605679,0.199641292576629,4.80502950178742,1.54728688188126e-06,1.75828054759234e-05,1.39439678701226,0.717155984088774
"G9",316.709047445705,0.416778472621561,0.19387340688979,2.14974544115008,0.0315753559193005,0.0745184386178362,1.15539746649114,0.865503022987342
"G10",596.770122099852,-0.0745316755866076,0.217375219940464,-0.342871076137478,0.731695452133071,0.826482450270311,0.974500048371149,1.02616721432849
"G11",627.826662858569,-0.0385333292924908,0.214107288580506,-0.179972057691076,0.857174504725289,0.912858897471021,0.986734143213619,1.01344420569372
"G12",116.451833044714,0.246286017727184,0.209122694241892,1.17771061921336,0.238911991938187,0.373884181436912,1.08910496881222,0.918185141594384
"G13",157.362787417679,-0.922406734721665,0.220738682084122,-4.17872719911474,2.93145056124536e-05,0.00020938932580324,0.726380124474542,1.37668965092264
"G14",428.566209443398,-0.464877216076645,0.203534502507775,-2.28402167862859,0.0223702569176409,0.0570669819327573,0.851194888201603,1.17481908533637
"G15",270.422129514383,-0.149984374587988,0.203550474940054,-0.736841192004877,0.461218930030099,0.606867013197499,0.949347261989174,1.05335533164618
"G16",321.543171394227,0.5135194733482,0.160407274478639,3.20134778810535,0.00136786322490689,0.00541596385965971,1.19479221016495,0.836965617529382
"G17",120.700129828668,-0.312156692330579,0.187608762750177,-1.66387053437505,0.0961383045603618,0.185595182548961,0.897461312327184,1.11425415922044
"G18",610.905704542005,0.614822157733798,0.180773640596372,3.40106088313264,0.000671248760335673,0.00307282734376122,1.23748503516234,0.808090580157047
"G19",396.705452991347,0.584237173657039,0.205001818046094,2.84991215797742,0.0043731304964318,0.0144805645577212,1.2244370346933,0.816701856988897
"G20",317.844830651459,0.221626780857673,0.184728117857697,1.19974578547052,0.230238085336218,0.364300767937054,1.07983687616894,0.926065799445387
"G21",586.388048317986,0.084379470780482,0.176211826141422,0.478852484695107,0.632043575648098,0.752916501132821,1.02967549183949,0.971179762872207
"G22",353.26597459629,0.672120593979361,0.208476760651108,3.22395931268413,0.00126431361911404,0.00509803878675015,1.26230478864494,0.792201700409839
"G23",1000.77504810375,0.420250561904089,0.199339345187745,2.10821682748221,0.0350122383752831,0.0811788180335954,1.15678863291556,0.864462159763456
"G24",109.048721765325,-0.297970025803715,0.213326158511985,-1.39678147247457,0.1624792954226,0.275856189172496,0.90188474735118,1.10878912514818
"G25",426.833427355192,0.0747645526368006,0.229269047237144,0.326099635069656,0.744348973121778,0.835859605876343,1.02625003863679,0.974421400586104
"G26",801.417368753269,-0.325858293488655,0.196244624922237,-1.66046990391598,0.0968199575398391,0.186192226038152,0.893209718354038,1.11955790387363
"G27",236.41999491313,-0.44850179438255,0.170992910135073,-2.62292626067516,0.00871781385792788,0.0257162650676339,0.856039398918051,1.16817053194503
"G28",592.742557746975,0.0811945332373407,0.205371307444748,0.395354805145722,0.692581058137937,0.797904444859375,1.02853954739196,0.972252357758799
"G29",362.030546928295,-0.161018208598213,0.229560517234458,-0.701419436312558,0.483041295844588,0.623279091412372,0.945723856818813,1.05739111135861
"G30",115.904288878714,0.248099403939349,0.220063823238789,1.127397498998,0.259574456022733,0.392106429037361,1.08978965567046,0.917608269446072
"G31",467.149298729879,1.19485468895072,0.164820460685242,7.24943179980876,4.18523632919972e-13,2.46190372305866e-11,1.51301610537504,0.660931497323438
"G32",463.997947620509,0.430935519518799,0.229562172364183,1.87720614019609,0.0604898463000334,0.128428548407714,1.16108030620185,0.861266869017203
"G33",496.871704855228,-0.477104955314778,0.211219618482004,-2.25880985271938,0.0238952153869685,0.0598877578620765,0.84759531726381,1.17980831138636
"G34",649.738121968837,0.781579581298395,0.185191391467622,4.2203882972338,2.43881878870926e-05,0.000182001402142482,1.31111096353862,0.762711950254045
"G35",106.408944790687,0.276533549156003,0.19679083337978,1.40521560078121,0.159957176427088,0.272499448768464,1.10058210364147,0.908610086145619
"G36",75.3311369123178,0.0486900968457013,0.219070137078659,0.222258028844063,0.824113023085385,0.896749753085293,1.01701788370405,0.983266878609771
"G37",559.892405946834,0.604935600610409,0.16677951662607,3.627157656097,0.000286558338855499,0.00147606119747417,1.23325214815073,0.81086418661383
"G38",585.554722188694,-0.516778274572819,0.228229598082571,-2.26429121776683,0.0235562093783283,0.0593355399957892,0.836020870080935,1.1961423880521
"G39",104.091197275783,-0.875110917895969,0.175728912848862,-4.97989149143955,6.3619933371295e-07,8.37104386464408e-06,0.73838468802079,1.35430760716404
"G40",553.075498521162,-0.100655491294613,0.210026272447852,-0.479251905590074,0.631759432295095,0.752916501132821,0.965716916324618,1.03550013787255
"G41",418.175305786335,-0.17547234347307,0.199285987501838,-0.880505175866679,0.378585702502817,0.524356928674262,0.940998173826084,1.06270131846698
"G42",222.764592636899,0.36492077226239,0.196149996103196,1.86041692333454,0.0628265621872531,0.131286981574561,1.13481756486329,0.881198908936932
"G43",319.313992916094,0.277159886899173,0.222875424764756,1.2435641443722,0.213660019414845,0.344612934540073,1.10082103526411,0.908412873633065
"G44",427.625645718389,-1.07591765474651,0.193651067275619,-5.55596036666911,2.76089517285897e-08,5.63447994461014e-07,0.688744678782071,1.45191684350771
"G45",141.109772916421,0.0653327203760901,0.238877825442644,0.273498472514256,0.784470066356017,0.865861000392955,1.02290088479116,0.977611824242545
"G46",629.299639144742,-0.748737230228547,0.171367329849135,-4.36919470524345,1.24705544411671e-05,0.000103062433398075,0.771442955178934,1.29627212652172
"G47",78.1667103774242,-0.495222938813159,0.228889271802085,-2.16359174422716,0.0304956957043404,0.0733448962813446,0.842289759182889,1.18723988876477
"G48",224.310463646428,-0.674805143059792,0.150942402825785,-4.47061349512661,7.79955402179034e-06,7.09050365617303e-05,0.791464983620575,1.26347977572612
"G49",307.34096433135,-0.672535907158635,0.187415197803784,-3.58848116395956,0.000332610018693334,0.00169698989129252,0.792087681812624,1.26248649355534
"G50",197.274351432596,0.499259168758596,0.191121590784866,2.61225938267008,0.00899459829724318,0.0262999950211789,1.18890182224566,0.841112345265939
"G51",312.717512272689,0.235647975878445,0.201132017270085,1.17160847425903,0.24135428420648,0.375356585080062,1.08509697951808,0.921576613773383
"G52",1032.86132139677,0.224637214985782,0.211608180720278,1.06157150551154,0.288430255200665,0.426041735894631,1.08096409783078,0.925100104625807
"G53",315.626537996355,0.183269190358966,0.193994671782778,0.944712494805929,0.344805676288969,0.485641797590097,1.0655768133146,0.938458858624547
"G54",465.744946750108,0.737855044380621,0.203489407944509,3.62601204570722,0.000287831933507463,0.00147606119747417,1.29139247196959,0.774357928906644
"G55",285.044619781185,1.57959239351545,0.207240412656245,7.62202879867627,2.49719302207194e-14,1.92091770928611e-12,1.72883022105225,0.57842579787352
"G56",732.297293984419,0.242579756130976,0.271262925698948,0.894260634791628,0.371182456749804,0.516248201321008,1.08770691985399,0.919365301210216
"G57",352.109028543352,-0.355787776620485,0.16918239549376,-2.10298344329572,0.0354672168094335,0.0817216977175888,0.883992547224905,1.13123125657481
"G58",1004.11028917743,0.183932336251664,0.245169139139154,0.750226300493991,0.453118421221302,0.596993967353494,1.06582174175603,0.938243198484975
"G59",529.396696072684,-0.336564607122957,0.239151861326767,-1.40732589433243,0.159330774349344,0.271895519367481,0.889901582125738,1.12371976866393
"G60",316.771743034181,-0.984390233742864,0.201727287415763,-4.87980702240853,1.06189693869863e-06,1.27939390204654e-05,0.710942547573188,1.40658342001546
"G61",478.19872387908,0.631963973263727,0.215076145891577,2.9383266593512,0.00329989130713464,0.0116193355885023,1.2448586920849,0.803304026680484
"G62",518.567182828636,0.590917063010975,0.187567984230494,3.15041538370867,0.00163038476492906,0.00624668492309985,1.22727497985951,0.814813319272975
"G63",1314.75147015618,0.455649354759147,0.214305747164775,2.12616488725712,0.0334895326358108,0.078429818819229,1.17106785927561,0.853921480364571
"G64",320.000419225426,0.53013781616623,0.210574023438553,2.51758411369733,0.0118162751706184,0.0327320641845385,1.20169344517314,0.832158986983506
"G65",664.742652323034,0.8802410358797,0.184841734336229,4.76213361144151,1.91556778776998e-06,2.12840865307776e-05,1.35671765838956,0.737073033446774
"G66",139.05999880281,-0.633297150860674,0.186330789221443,-3.39877887871788,0.000676874164546542,0.00307282734376122,0.802932950490685,1.24543400465616
"G67",208.972314179059,-0.430321395890665,0.205823093005327,-2.09073427868236,0.0365518903761126,0.0838346109543866,0.861450199732034,1.1608332092918
"G68",432.901215114333,-0.567220034037281,0.212041120742201,-2.67504733068689,0.0074718700704006,0.0226420305163655,0.821532743859714,1.21723693604933
"G69",923.935869793421,0.663820114723866,0.168989466264402,3.92817451524018,8.5593092694892e-05,0.000518046269509044,1.25867870064081,0.794483929449896
"G70",461.370416539258,0.119047494521294,0.179309726258034,0.663921009783817,0.506740868564201,0.645529768871594,1.04212168588253,0.959580837388621
"G71",213.80628106461,0.184964111255426,0.217591722440867,0.850051229801226,0.395296604644601,0.538551232485833,1.06620293280487,0.937907755861536
"G72",234.248780032653,-0.426747668822674,0.181804214565312,-2.34729249727799,0.0189104030532949,0.0493744205046865,0.862517818010177,1.15939633839333
"G73",148.915934018576,-0.121832872884643,0.189256857337243,-0.643743506041345,0.519741773070752,0.657069245348611,0.95865496394855,1.04312817187235
"G74",249.673119311564,-0.0739849818415906,0.212393674085366,-0.348338914330632,0.72758567224898,0.825423970195946,0.974684704011916,1.02597280524039
