"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48"
"G1",201.382266839802,300.053147784096,316.069844207572,210.261522342614,351.76631356986,238.647965743907,233.34870533678,246.63414952861,291.500516413855,238.453063891375,203.157830499711,140.580842530511,485.104181836574,411.376932677879,318.542394565423,244.968784273127,228.752445859639,252.024256432611,348.953004926948,316.573269055893,190.835319782033,377.938357813624,283.686162543548,272.977723028214,170.782125419968,284.334742790266,216.109604757798,297.247585155131,418.057564588642,252.056476696372,166.248580749016,141.89881010974,158.246688766035,242.072360168437,285.209349735943,241.096382465653,286.132976868446,575.002651280251,452.876266523915,190.90405281725,239.905141136542,227.199259981554,402.613453936421,271.836487840779,331.30856033891,115.20179063178,184.901387145958,141.501146043772
"G2",149.062364180442,275.539001723304,406.656840055225,138.227482280793,232.145492240628,399.390190604472,224.411946408988,352.477144872872,222.095631553413,220.494255732192,214.275920726063,147.510884063706,241.541457206128,511.935738443582,321.675598446394,609.982032552607,312.661639974092,258.91554469444,240.412390022345,160.76761626036,232.580545984353,195.894750908632,214.97325120082,248.979681443316,589.442307163775,530.624696052258,605.106893321835,717.122061875911,563.298220830706,507.06674022903,393.222690993181,396.511568675444,247.645792159834,343.948372748976,468.136725773479,398.957109080069,1519.25409782107,951.15430049936,952.17492938855,730.919937029582,792.291768627404,681.597779944663,495.286627476774,311.520646649652,521.485679566683,452.020585275545,346.815034268365,434.398623169342
"G3",526.160530517718,161.793364001228,506.1056072358,470.168126349456,371.027293275415,277.107761876189,407.119017821616,253.623781296628,292.492014769004,283.350084289333,254.705339730981,338.582029193203,262.764765161478,682.580984591443,931.605953942155,381.604759564911,382.585968402803,397.725779682714,407.788104594863,404.896218729794,210.713998925995,372.002153240635,438.781019574277,176.985556688622,510.394580540819,354.417249816036,345.775367612477,399.273158937751,658.489732016383,441.098834218651,401.186694861397,339.148219907677,321.63125703746,435.543319839735,283.242388703282,363.558037051381,726.024243797872,424.150166958005,947.016885350693,609.627306786578,402.19391308185,296.944149092171,256.395780128309,457.35993027226,647.60313758089,229.427294902275,250.866206343976,407.681623566672
"G4",371.175158489047,284.364094305189,508.074889754228,224.86301694974,412.590460008453,244.564857456566,175.756258913234,609.096482641508,362.888397984595,424.0274148696,576.119220820075,256.411536728186,254.679695464201,249.873396145082,364.496051486336,273.271950583568,275.701637804631,201.816299096426,878.468901938188,426.728857975028,423.415865766387,636.163256738639,1054.25238260128,1345.89016555302,761.200330443286,852.003049699002,649.311130658658,698.482774357933,453.386372863739,354.454420354273,323.537657146288,182.153791701156,238.39760905013,181.320609547014,183.910856553867,321.461843287537,681.220503647653,478.02605421595,618.965284542936,475.678054257347,674.355207648516,659.406224318558,415.999579003361,325.410102232758,303.282458557975,588.700675855624,620.668980635892,402.734031047659
"G5",273.445528993261,219.646748704698,365.301907168253,399.107519261443,378.12344369325,400.376339223249,300.870883902316,255.620818944633,316.287975292584,378.132682907244,507.389208511715,477.182859857088,388.083345469259,415.439914729018,272.588737644509,418.691667144109,608.341657329783,727.523146498825,549.80386241397,788.95219090732,726.565722711804,704.42960932801,766.639767981007,881.928028244998,708.501846027982,577.680093626703,500.981356483987,768.134848767221,737.97955063535,833.952483444637,634.133808006725,656.156199940075,567.221897395137,760.798846243658,568.451738439225,630.486174781212,788.138519915222,1154.90311049304,586.985411508218,652.870766264519,832.611960415058,503.00859419172,300.672963042033,532.759832009119,678.632035981211,823.00940256433,844.549579126133,567.983621182693
"G6",214.215450510966,109.823374352349,96.4948434029347,223.889583975932,187.54111818566,279.080059113742,253.208169620761,212.684509512526,151.699248337822,468.924435267558,859.125153854498,433.622598791295,76.8081621241242,53.8345121775989,109.662135833998,208.857847946013,243.736230522935,128.965537471375,207.951645377978,179.623077426698,228.604810155561,243.384387492543,226.752607431002,345.971766182278,75.1441351847859,113.133189913029,52.0627684189241,278.608297637153,363.101640605159,219.56482149723,130.410563342042,73.4653414043335,217.846091028567,369.183715314797,249.804051148033,99.5000943509044,81.4613457276715,62.6919415365181,71.1810077224377,171.91911938791,88.7044219328391,176.475704264742,32.9504617032365,72.423589826193,97.0904240268104,210.877854037835,221.88166457515,232.536848393611
"G7",536.032210264767,295.150318571938,336.747310651058,117.785389830816,137.86806526081,577.883090603014,332.646026756686,331.508249568821,202.26566445043,110.745983648296,156.663998644056,121.770729797556,284.998706828987,385.983294858256,479.38019378862,444.066919698298,238.741635635169,277.620469976548,247.5131779133,222.295963224201,172.944508552468,144.447644609395,331.785200483458,168.986209493656,261.540626357437,99.1166885078746,135.559661166255,225.633480480793,83.4152417606446,141.781768141709,254.848123782922,205.30040611622,160.301840568191,114.961005022076,183.910856553867,75.5818024396293,177.178426957685,165.545908119868,154.741321135734,64.3378299549849,124.992594541728,108.844296642326,99.8810870379357,185.523442431481,176.164068337306,153.276958721945,117.937100990395,136.553553524759
"G8",132.280508610458,132.376388728278,120.126233624062,87.6089676427558,62.8516179865456,77.9057408833415,56.5994732093466,81.8785435682027,101.132832225215,96.7780217467088,113.202373213769,64.3503856653749,158.669492809046,182.834192301279,149.349384992969,127.852234023026,64.9297335409457,114.198491196027,149.116545710062,161.760008953325,304.143790902616,147.41574689589,69.6945243619098,124.989799921343,240.070873447498,223.262843810667,294.694915578816,150.095315276353,109.911847966967,119.13606906352,186.158590419556,110.701199376393,258.949127071693,208.425236747341,119.001142476032,199.000188701809,619.106227530303,278.195490568299,178.46832370988,138.16812662464,233.857112368394,116.241481851028,359.365972950923,298.623295036768,325.302967100138,169.873826863812,170.908849740318,375.027512941186
"G9",73.0504301281635,88.2509258188519,159.511883992606,178.138234206937,188.554853959637,162.714522098118,371.37198211045,213.683028336529,260.764067404231,228.475948247385,235.501365703645,128.70077133075,334.519758724804,271.204051913564,467.891779558392,226.425330483528,294.681098378138,346.53335259484,344.895411846402,296.725415196589,522.809261486196,416.523687538051,651.791044736734,460.962382109914,141.505189633688,149.17562209771,180.74621488834,190.316935709886,187.438955015096,219.56482149723,245.888619431179,238.510765929138,505.567343330449,226.183440775142,655.98150439267,168.384775055377,325.845382910686,351.662609556406,280.597595659465,330.126897965742,206.640982911728,476.590075589214,680.63297455748,582.36503052021,476.443730275894,662.898439313381,368.803307334371,426.482475138921
"G10",546.891057986521,184.346378377157,166.404372807102,403.001251156677,466.31845602921,494.060458007014,631.530964230605,461.315696689142,443.199764751677,670.462171276168,362.854035569135,820.714918716858,279.94553826819,760.793389075879,531.600258471476,762.233547877738,1140.76547236554,661.563673135603,1390.74002835711,814.754400924415,785.207826186492,595.599192156548,929.587529165191,1066.91293212859,192.251878329907,299.352422867217,239.685198004104,586.647049250061,328.754188115482,447.006407891222,529.606257236385,731.634290423979,390.478842409696,533.680763151264,308.812882127883,807.481534924647,259.658039506953,498.59684753262,466.287181022345,311.141964536402,653.187106959997,171.192000544241,614.732051151007,1072.46439180979,615.573306974107,1021.19553390544,1490.20523370067,704.537174707453
