"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48"
"G1",204.266390223829,304.350399540943,320.596481249502,213.272811185796,356.80418242793,242.065794877293,226.449920839158,239.342590550828,282.88251598063,231.403372751199,197.151617225036,136.424672322871,492.051667017269,417.268523083549,323.104442571869,248.477137864364,232.028554966019,255.633655923071,338.636463520325,307.214010954279,185.193412560774,366.764885562391,275.299187790374,264.907335489078,168.370780504352,280.320100539654,213.058262028768,293.050621032683,412.154833372908,248.497584909334,171.313334701558,146.221749626736,163.067665515391,249.447081428856,293.898237032719,248.441370618545,282.092944591852,566.883946139295,446.481915358649,188.208597915284,236.517819185329,223.991337729497,414.879050869545,280.117971628694,341.401857574457,118.711406905276,190.53439782887,145.811970746669
"G2",221.017631433477,408.546972022465,602.957910196764,204.952543860982,344.206581755761,592.18350943576,287.503647732621,451.573396670434,284.536118681999,282.484528303862,274.517955999251,188.982440227524,358.138159542846,759.056955651012,476.95459044582,904.43207977406,463.589421026018,383.899052885021,308.002493617573,205.966201228404,297.968786564866,250.969060957483,275.411335600364,318.978413456656,397.541423659009,357.872678179906,408.106192774867,483.653314244074,379.90889682,341.984332225363,306.931303842193,309.498448461047,193.300762188133,268.470067776619,365.405707527089,311.407323310295,1024.64046032543,641.49320492335,642.18155432872,492.959105269582,534.350510347637,459.69444084497,386.59765529575,243.158496292369,407.047414176843,352.826199453837,270.707650138914,339.071317221955
"G3",572.789767848693,176.131765935647,550.957543300094,511.835221993132,403.908360385077,301.665521049167,441.657883830391,275.140530491285,317.306238778479,307.388731875019,276.313845390479,367.306404197485,286.051423673998,743.072467479389,1014.16645136786,415.423219651367,416.491384878269,432.972911874906,442.383734098827,439.246508532015,228.590399331016,403.56180032984,476.006003372282,192.000528135216,468.84476354973,325.565117701433,317.626747325206,366.769430810899,604.883896651124,405.190193070175,369.812787577898,312.625892664438,296.478804658015,401.482629618391,261.092051825825,335.12679470781,666.920609842882,389.621270128476,869.92284914032,559.999226874537,369.452414404937,272.770743805852,236.34492216951,421.593120875685,596.958784078625,211.485446952769,231.247776323214,375.799794924807
"G4",504.015062681291,386.135180487214,689.909848624268,305.339258273589,560.252489442931,332.092191897722,135.652102263008,470.1125232309,280.084330298399,327.272613788427,444.660030553736,197.903415882549,345.827030008069,339.300603879628,494.945569592557,371.073268650547,374.372516806068,274.044348908638,678.019400603081,329.357640169059,326.800608284891,491.003186416707,813.692513142585,1038.78423164723,560.575812538488,627.446261869264,478.176506370265,514.388306363207,333.890336350694,261.033221809354,419.188256495536,236.005697237072,308.877423950818,234.926193300441,238.282220343081,416.498749499861,501.675737749319,352.03590045819,455.828713465889,350.306747261596,496.619882241752,485.610903209996,538.985599894014,421.614270821361,392.944815604923,762.74400972769,804.163416859947,521.798228358791
"G5",389.81104847994,313.118044836997,520.757168600434,568.948854685298,539.034946314826,570.757624576196,397.434378428153,337.661457874866,417.799533255998,499.493091007778,670.234062168266,630.333087881789,553.233312506284,592.231547310933,388.589647145587,596.867092177915,867.223172932521,1037.12268243787,726.261556059502,1042.16373327963,959.754538717413,930.513914468908,1012.69021353611,1164.97985174836,497.001464774524,405.232328346279,351.42952610943,538.832957347847,517.679551148168,585.002859410993,480.060129880827,496.731804215684,429.405614866494,575.949725956009,430.336644948636,477.298751670286,552.865177471422,810.144025461054,411.75984361421,457.977250110251,584.062506308175,352.851597365613,227.619312938573,403.316698968481,513.746750640009,623.045161288711,639.351782742026,429.982264803416
"G6",199.174500217887,102.112222282264,89.7195424631565,208.169372872169,174.373082781069,259.484697122314,183.728192811909,154.324169833657,110.073181247576,340.25220902663,623.382381987719,314.637148389212,71.4151442729093,50.0545690419194,101.9623049853,194.193077025978,226.622504509366,119.910335178542,150.889997170242,130.33474967395,165.875961667814,176.600043117139,164.532000847695,251.037584844982,80.8187531750123,121.676606284692,55.9943636334344,299.647805964853,390.521785863227,236.145576376172,179.727561337611,101.247524089018,300.228337982138,508.796888370594,344.271750497208,137.127766741156,87.6130170036473,67.4262141236004,76.5563444135966,184.901840199634,95.4030645784016,189.802522170038,45.4112456468613,99.8118162302331,133.806838130172,290.624942297986,305.790033089792,320.474657971546
"G7",372.11553242628,204.894437009547,233.771221946049,81.7670509525572,95.7085181201459,401.168567526322,299.246968291611,298.223428712979,181.957342062444,99.6266216685201,140.934275066408,109.544436991665,197.84715078985,267.951023321687,332.787494165984,308.27288937508,165.735321787511,192.725151622381,222.661815097987,199.976514696093,155.580153388885,129.944494295262,298.472572592372,152.019284183593,376.749121721175,142.777532742539,195.273613879814,325.024898754562,120.159607741143,204.236555396417,283.291811732489,228.214056021931,178.193184884097,127.791842874356,204.437211375343,84.0175137619141,255.225422045982,238.468785355959,222.904784024597,92.6786070163345,180.051760489744,156.790146660859,111.028849986313,206.229778524994,195.825801424972,170.384253525729,131.100101951331,151.794343243781
"G8",178.648770470424,178.778259427951,162.234059753871,118.318522630205,84.8829838448735,105.214025615684,81.5092402516911,117.913780831039,145.641997208867,139.370608564838,163.023415451489,92.6713756873245,214.287880348087,246.923027418676,201.700796888216,172.668253622853,87.6895408545861,154.228466884915,214.743630295425,232.951557413346,437.999294305227,212.294299739796,100.367501821627,179.998559228943,177.760513876301,165.315005837007,218.206893979914,111.138098474012,81.3842441406153,88.2143200206467,129.267284526343,76.8701750746192,179.812548062291,144.729095339447,82.6336002477222,138.18440479022,458.417298064577,205.989892281978,132.146896779831,102.306609866578,173.159533563012,86.071022489533,249.541336608944,207.362025887239,225.888212360355,117.959253243659,118.677966231156,260.416605601255
"G9",82.0153074045811,99.0812346631419,179.087462967501,199.999671642707,211.694637293634,182.683134454559,441.27674695335,253.905399884044,309.848682532653,271.482847539378,279.830686122865,152.926608465389,375.572611914624,304.486690195183,525.312281737864,254.212645308311,330.84488109653,389.060535155542,409.816390869928,352.579171999547,621.219643104628,494.92753013107,774.480159435426,547.731089699796,126.03762998919,132.869627679594,160.989322109073,169.513892640786,166.950496436979,195.564769052981,206.936224505418,200.727132144013,425.47799692421,190.352637661431,552.064329688902,141.710135649065,290.228082173501,313.223295760676,249.926211392917,294.041596092668,184.053601230116,424.495269460654,572.810642292611,490.109794339484,400.967995024131,557.885519790961,310.37940747903,358.92134181377
"G10",523.401648117488,176.428553471562,159.257171440789,385.6920239753,446.289704080893,472.840164808337,626.567498844825,457.690024121807,439.716472853218,665.192729288223,360.002214284597,814.2645776863,267.921652718482,728.116702410993,508.767600713836,729.495005236456,1091.76867976211,633.148982410987,1379.80962211839,808.350906090512,779.036550213241,590.918129561828,922.281512856575,1058.52761817219,200.879828173827,312.786869971667,250.441877651002,612.974809274998,343.508138353468,467.067324334275,533.801626978244,737.43006100299,393.572089700296,537.908409813182,311.259198053862,813.878142880924,271.311067612052,520.973058523214,487.213387027053,325.105506987478,682.501075939146,178.874817519591,619.601759942227,1080.96010838629,620.449679922288,1029.28511514609,1502.01015832382,710.118290686342
