"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48"
"G1",199.832513350976,297.744064566846,313.637503210223,208.643437826386,349.059267511331,236.811431061302,231.552951540362,244.736156524094,289.257250661631,236.618029091708,201.594413017427,139.498991309981,481.371023450571,408.211148288594,316.091025857226,243.083607221352,226.99206294901,250.084783425357,346.267608912153,314.137053911991,189.366731175576,375.029902676167,281.50303278226,270.877000927537,172.106585540398,286.539833204456,217.785591354404,299.552818044487,421.299710515684,254.011240701443,167.537882042923,142.999272553715,159.473933291452,243.949694734412,287.421222956107,242.966148068877,288.352013058975,579.461947467658,456.388440605514,192.384563755753,241.765668351204,228.961249759448,405.735826739642,273.944651013814,333.877945013372,116.095210696197,186.335345839732,142.598524498744
"G2",205.535829188993,379.929149148283,560.722025815643,190.596065904993,320.095662661072,550.702348290079,309.432201338581,486.015921187975,306.238332134098,304.030262316693,295.456061520356,203.39655846149,333.051363859242,705.88667415143,443.544963345082,841.078588417676,431.115994845447,357.007762900315,331.494540571857,221.675709334727,320.695539983895,270.111038981226,296.417581204658,343.307618646893,427.48587533619,384.829117133382,438.846426223314,520.084066953037,408.525194205693,367.743995750288,285.179981515251,287.565200115593,179.602103459731,249.444380574809,339.510475515784,289.338798596454,1101.82058527517,689.813106027654,690.553304735461,530.090808352764,574.599983945908,494.320512874029,359.200612029347,225.926566009659,378.201156407512,327.822440327149,251.523392030239,315.042326303168
"G3",571.795205076885,175.825939771904,550.000888883114,510.946497568101,403.207034626466,301.141724512262,442.429047380193,275.620943851844,317.860276223364,307.925452704241,276.796307435587,367.947745201226,285.554738654855,741.782234562543,1012.40550476308,414.701900081777,415.76821060137,432.221119919946,443.156165030669,440.013461662841,228.989533118168,404.266445626348,476.837140985188,192.335773614265,469.660257529819,326.131395527813,318.179217397384,367.40737813624,605.936012862547,405.894968272819,369.168195764319,312.080978865097,295.962035587821,400.782836574345,260.636962643269,334.542661341859,668.08063078117,390.298965231432,871.43596585137,560.973272089232,370.095028428384,273.245192742497,235.932967777643,420.858274803548,595.918271802721,211.11682317237,230.844706368542,375.144767625888
"G4",380.369937670967,291.408383220015,520.660959463702,230.433340662808,422.811182181207,250.623236657169,180.110106291184,624.185066913071,371.877896906699,434.531454155735,590.390889860278,262.763382766347,260.988640199201,256.063278868761,373.525375322935,280.041464072716,282.531339689926,206.815707766602,900.230400214059,437.299817614691,433.904755711747,651.922341191311,1080.36840259435,1379.23065882783,742.799641381248,831.407363425075,633.615167661883,681.598172720062,442.426548835322,345.886103559395,315.716699126548,177.750541796348,232.634763053058,176.937500366188,179.465132673781,313.691064443814,664.753187267212,466.47060890754,604.002879397318,464.179367748728,658.053847813214,643.466230056873,405.94351544553,317.543881122023,295.951134601972,574.469864788158,605.665391611591,392.998638952264
"G5",375.245950294483,301.418543028433,501.299333013108,547.690360439665,518.89417054902,549.431546532827,412.881428932225,350.785319010634,434.038114619562,518.906849409222,696.28399637076,654.832194077399,532.562021768012,570.103106701706,374.070186020516,574.565446713685,834.819805424799,998.371103284385,754.489106428915,1082.66942854724,997.05724234792,966.68012507301,1052.05036384656,1210.25903136376,516.292479446571,420.961341932309,365.070194447184,559.747653224438,537.773181699435,607.709631008149,462.099736044664,478.147676354709,413.340348291708,554.401833798067,414.236545931187,459.44166872604,574.324531228264,841.58960739456,427.742221428982,475.753547520861,606.73277828352,366.547463121106,219.103437008388,388.22749179776,494.526045984044,599.735297007253,615.431842086362,413.895424139619
"G6",175.756631158218,90.1064150720942,79.1708000528723,183.693934948032,153.871231310972,228.97587870655,207.748856434637,174.500545139465,124.464172745209,384.736856346303,704.883529290634,355.772877147013,63.0185347891108,44.1694213830599,89.9741242465226,171.360896977258,199.977446378085,105.811921350265,170.617388000082,147.37474300516,187.562620733786,199.688770908735,186.042950185682,283.858292924316,91.5870693799034,137.888835745523,63.4550703334098,339.572974294832,442.555031983314,267.609687574452,158.946819779199,89.5409243006268,265.514866916902,449.967977744625,304.465823016192,121.272565346767,99.2866030674752,76.4101041943781,86.756735928558,209.538219801089,108.114599042082,215.091870185428,40.1606354866292,88.2712181042729,118.335614344366,257.021850087892,270.433499002955,283.420235189848
"G7",423.449632567098,233.16004441154,266.020440996849,93.046983167291,108.911704295886,456.510593387134,262.780547712699,261.881737299968,159.783907855405,87.4860599533548,123.759937167862,96.1952841690856,225.140570618365,304.915416004637,378.696210847981,350.799766097204,188.598849009924,219.311981171071,195.528108639465,175.607252970753,136.621059702489,114.109377876413,262.100520352174,133.494120220221,331.076447440756,125.468848072697,171.600915927532,285.622666664345,105.592856793052,179.477294835542,322.604608829227,259.883636671461,202.921299962781,145.525693912316,232.807246360368,95.6767405178695,224.284865327669,209.559608050244,195.882404915145,81.4433324344533,158.224382703446,137.782735930595,126.436477283065,234.84857053623,223.000819123668,194.028712383796,149.293044683616,172.859054503457
"G8",184.45151619077,184.585211118996,167.503634201275,122.16166299452,87.640094178961,108.631514777541,78.9221235896993,114.171178076745,141.019296316289,134.946962577013,157.849025491442,89.7299710147983,221.248230969798,254.943410300885,208.252302576452,178.276744334047,90.5378118310566,159.238009205387,207.927632228477,225.55763675159,424.097124824335,205.556043826641,97.1818208425944,174.285375419626,172.168263498292,160.114284463497,211.342222187884,107.641753534128,78.823939491766,85.4391448497166,133.504747108916,79.3900275785847,185.706916054029,149.473405768475,85.3423814400868,142.714176162297,443.995735859983,199.509560807568,127.989626318833,99.0880988191958,167.712027556715,83.3632743088112,257.721457979639,214.159483023926,233.292969497698,121.826031475443,122.568304324998,268.953225103702
"G9",84.4022818961684,101.964896106599,184.299626640287,205.820464487901,217.855800559572,187.999946593483,429.082247256208,246.888829572181,301.286142830774,263.98053175919,272.097681289195,148.700545131004,386.503281721867,313.348474483065,540.600976693798,261.611253190088,340.473794488928,400.38375764276,398.491285051752,342.835792961672,604.052496179256,481.250413315013,753.077721770437,532.594768437517,122.473169396354,129.111951881585,156.436395379378,164.719883182594,162.228982191154,190.034016747529,212.817343435869,206.431788926695,437.570063976182,195.762451740563,567.75397507564,145.737531835472,282.020163935667,304.365051642687,242.858067286246,285.725828158783,178.848395383176,412.49015114823,589.089897024365,504.038694397357,412.363488837152,573.740603159322,319.200377385627,369.12187148386
"G10",532.945362461614,179.645554645586,162.161069349691,392.724738745815,454.427357956824,481.461940226107,615.426955190603,449.552168737939,431.898192188591,653.365418339652,353.601275213789,799.786727988502,272.806940583638,741.393194454895,518.044477594569,742.796629276968,1111.67600800035,644.69383147124,1355.2762249057,793.978203111449,765.185064600141,580.411441566374,905.883092136695,1039.70670396711,197.28257443522,307.185641876136,245.957091951643,601.997968322963,337.356769417288,458.70332037272,543.464577679199,750.779121711575,400.696585969771,547.645702063634,316.893655001922,828.611077315318,266.452567078846,511.643738105515,478.488617626784,319.283683009013,670.279193984425,175.671618313805,630.817876488067,1100.52779740995,631.681145632595,1047.91737631244,1529.19975344435,722.97294996041
